id,title,full_text,paragraphs,references,children
211.104,Use of brand name or equalpurchase descriptions.,"A justification and approval is required to use brand
name or equal purchase descriptions—
(1) When using sealed bidding or negotiated
acquisition procedures (see 206.302-1 (c)(2) for justification
requirements); or
(2) When using the simplified procedures
for certain commercial items at FAR 13.5 (see 213.501 (a)(ii) for justification requirement).","['A justification and approval is required to use brand\nname or equal purchase descriptions—', '(1) When using sealed bidding or negotiated\nacquisition procedures (see 206.302-1 (c)(2) for justification\nrequirements); or', '(2) When using the simplified procedures\nfor certain commercial items at FAR 13.5 (see 213.501 (a)(ii) for justification requirement).']","206.302-1,213.501",
211.106,Purchase descriptions for service contracts.,"Agencies shall require that purchase descriptions for service contracts and resulting requirements documents, such as statements of work or performance work statements, include language to provide a clear distinction between Government employees and contractor employees.  Agencies shall be guided by the characteristics and descriptive elements of personal-services contracts at FAR 37.104.  Service contracts shall require contractor employees to identify themselves as contractor personnel by introducing themselves or being introduced as contractor personnel and displaying distinguishing badges or other visible identification for meetings with Government personnel.  In addition, contracts shall require contractor personnel to appropriately identify themselves as contractor employees in telephone conversations and in formal and informal written correspondence.","['Agencies shall require that purchase descriptions for service contracts and resulting requirements documents, such as statements of work or performance work statements, include language to provide a clear distinction between Government employees and contractor employees.  Agencies shall be guided by the characteristics and descriptive elements of personal-services contracts at FAR 37.104.  Service contracts shall require contractor employees to identify themselves as contractor personnel by introducing themselves or being introduced as contractor personnel and displaying distinguishing badges or other visible identification for meetings with Government personnel.  In addition, contracts shall require contractor personnel to appropriately identify themselves as contractor employees in telephone conversations and in formal and informal written correspondence.']",,
211.107,Solicitation provision.,"(b)  To comply with section 875(c) of the National Defense Authorization Act for Fiscal Year 2017 (Pub. L. 114-328), use the provision at FAR 52.211-7, Alternatives to Government-Unique Standards, in DoD solicitations that include military or Government-unique specifications and standards.","['(b)  To comply with section 875(c) of the National Defense Authorization Act for Fiscal Year 2017 (Pub. L. 114-328), use the provision at FAR 52.211-7, Alternatives to Government-Unique Standards, in DoD solicitations that include military or Government-unique specifications and standards.']",,
211.170,Use of proprietary specificationsor standards.,"A justification and approval is required to use proprietary
specifications and standards—
(1) When using sealed bidding or negotiated
acquisition procedures (see 206.302-1 (S-70) for justification
requirements); or
(2) When using the simplified procedures
for certain commercial items at FAR 13.5 (see 213.501 (a)(ii) for justification requirements).","['A justification and approval is required to use proprietary\nspecifications and standards—', '(1) When using sealed bidding or negotiated\nacquisition procedures (see 206.302-1 (S-70) for justification\nrequirements); or', '(2) When using the simplified procedures\nfor certain commercial items at FAR 13.5 (see 213.501 (a)(ii) for justification requirements).']","206.302-1,213.501",
211.201,Identification and availability of specifications.,"Follow the procedures at PGI 211.201 for obtaining specifications, standards, and data item descriptions from the ASSIST database, including DoD adoption notices on voluntary consensus standards.","['Follow the procedures at PGI 211.201 for obtaining specifications, standards, and data item descriptions from the ASSIST database, including DoD adoption notices on voluntary consensus standards.']",,
211.204,Solicitation provisions and contract clauses.,"(c)  When contract performance requires use of specifications, standards, and data item descriptions that are not listed in the Acquisition Streamlining and Standardization Information System database, use a provision, as appropriate, substantially the same as 252.211-7002 , Availability for Examination of Specifications,
Standards, Plans, Drawings, Data Item Descriptions, and Other Pertinent Documents.","['(c)  When contract performance requires use of specifications, standards, and data item descriptions that are not listed in the Acquisition Streamlining and Standardization Information System database, use a provision, as appropriate, substantially the same as 252.211-7002 , Availability for Examination of Specifications,', 'Standards, Plans, Drawings, Data Item Descriptions, and Other Pertinent Documents.']",252.211-7002,
211.270,Reserved.,,[],,
211.271,Elimination of use of class I ozone-depleting substances.,See Subpart 223.8 for restrictions on contracting for ozone-depleting substances.,['See Subpart 223.8 for restrictions on contracting for ozone-depleting substances.'],,
211.272,Reserved,,[],,
211.273,Removed and Reserved.,,[],,"211.273-1,211.273-2,211.273-3,211.273-4"
